priority_rank,cohort_month,rfm_segment,priority_tier,recommended_journey,buyers,target_customers,repeat_buyers,repeat_buyer_rate,completed_orders,merchandise_gmv,target_customer_gmv,average_customer_gmv,average_recency_days,average_review_score,cohort_buyer_share,cohort_gmv_share,observable_followup_months,targeting_eligible,evaluation_eligible
,2017-04,loyal,2,loyalty_reinforcement,17,17,17,1.0,35,3883.23,3883.23,228.42529411764707,214.88235294117646,4.264705882352941,0.007535460992907801,0.011047696907843737,16,False,True
,2017-03,champions,3,vip_advocacy,16,16,16,1.0,40,5744.88,5744.88,359.055,107.375,4.494791666666667,0.006392329204954055,0.015457971131871355,17,False,True
,2017-03,loyal,2,loyalty_reinforcement,17,17,17,1.0,39,4753.62,4753.62,279.62470588235294,168.2941176470588,4.480392156862745,0.0067918497802636835,0.012790749455495382,17,False,True
,2017-02,champions,3,vip_advocacy,9,9,9,1.0,20,2511.55,2511.55,279.06111111111113,101.88888888888889,4.148148148148149,0.005528255528255528,0.010474023645675025,18,False,True
,2017-02,loyal,2,loyalty_reinforcement,9,9,9,1.0,19,1549.74,1549.74,172.19333333333333,219.0,4.0740740740740735,0.005528255528255528,0.006462946548803891,18,False,True
,2017-01,champions,3,vip_advocacy,6,6,6,1.0,13,1356.18,1356.18,226.03,93.16666666666667,3.722222222222222,0.008368200836820083,0.011834399044158788,19,False,True
,2017-01,loyal,2,loyalty_reinforcement,10,10,10,1.0,21,1864.92,1864.92,186.49200000000002,193.1,4.7,0.01394700139470014,0.016273803968081382,19,False,True
,2016-12,at_risk,1,win_back_service_recovery,1,1,1,1.0,2,21.8,21.8,21.8,602.0,5.0,1.0,1.0,20,False,True
,2016-10,champions,3,vip_advocacy,4,4,4,1.0,8,916.37,916.37,229.0925,120.75,4.625,0.015267175572519083,0.0219371228535855,22,False,True
,2016-10,loyal,2,loyalty_reinforcement,2,2,2,1.0,5,487.39,487.39,243.695,149.0,4.833333333333334,0.007633587786259542,0.011667704429006881,22,False,True
,2016-09,at_risk,1,win_back_service_recovery,1,1,0,0.0,1,134.97,134.97,134.97,714.0,1.0,1.0,1.0,23,False,True
